METAL,BAND,SEX,BANDEDYEAR,BANDEDAGE,BANDEDLOC,DIRREC,AGE_CODE,BANDING_MONTH,BANDING_YEAR,LAT_DECIMAL_DEGREES,LON_DECIMAL_DEGREES,GISRLong,GISRLat,R_Day,R_Month,R_Year,RRegion__STA,RRegion__State
89703276,E/DY,F,1986,L,TUT,,,,,,,,,,,,,
89703289,G/3Y,F,1986,L,TUT,,,,,,,,,,,,,
89703293,G/7Y,F,1986,L,TUT,,,,,,,,,,,,,
89703294,G/8Y,M,1986,L,TUT,,,,,,,,,,,,,
89703296,G/0Y,F,1986,A,TUT,,,,,,,,,,,,,
99708902,E/SY,M,1986,A,TUT,,,,,,,,,,,,,
99708903,G/JY,M,1986,A,TUT,,,,,,,,,,,,,
99708904,G/NY,F,1986,L,TUT,,,,,,,,,,,,,
99708907,G/RY,M,1986,A,TUT,,,,,,,,,,,,,
99708910,G/YY,M,1986,A,TUT,,,,,,,,,,,,,
99708912,G/ZY,F,1986,L,TUT,,,,,,,,,,,,,
99708915,J/5Y,F,1986,A,TUT,,,,,,,,,,,,,
99708917,J/7Y,F,1986,A,TUT,,,,,,,,,,,,,
99708923,J/GY,M,1986,L,TUT,,,,,,,,,,,,,
99708924,J/JY,F,1986,L,TUT,,,,,,,,,,,,,
99708926,TY2W,F,1986,L,TUT,,,,,,,,,,,,,
99708927,J/NY,F,1986,A,TUT,,,,,,,,,,,,,
99708929,J/SY,F,1986,L,TUT,,,,,,,,,,,,,
99708931,J/VY,F,1986,L,TUT,,,,,,,,,,,,,
99708933,J/ZY,F,1986,L,TUT,,,,,,,,,,,,,
99708934,K/1Y,F,1986,L,TUT,,,,,,,,,,,,,
99708939,K/7Y,M,1986,L,TUT,,,,,,,,,,,,,
99708944,K/DY,F,1986,L,TUT,,,,,,,,,,,,,
99708948,K/KY,F,1986,L,TUT,,,,,,,,,,,,,
99708951,K/SY,F,1986,L,TUT,,,,,,,,,,,,,
99708952,S5AW,F,1986,L,TUT,,,,,,,,,,,,,
99708953,T28W,M,1986,A,TUT,,,,,,,,,,,,,
99708955,K/ZY,F,1986,A,TUT,,,,,,,,,,,,,
99708956,L/2Y,F,1986,L,TUT,,,,,,,,,,,,,
99708958,L/3Y,M,1986,A,TUT,,,,,,,,,,,,,
99708960,L/5Y,F,1986,L,TUT,,,,,,,,,,,,,
99708967,L/EY,M,1986,A,TUT,,,,,,,,,,,,,
99708970,L/GY,F,1986,L,TUT,,,,,,,,,,,,,
99708976,L/ZY,F,1986,A,TUT,,,,,,,,,,,,,
99708983,N/4Y,F,1986,L,TUT,,,,,,,,,,,,,
99708985,N/7Y,M,1986,A,TUT,,,,,,,,,,,,,
99708992,N/GY,F,1986,L,TUT,,,,,,,,,,,,,
99708995,N/NY,F,1986,A,TUT,,,,,,,,,,,,,
99708999,698Y,F,1986,L,TUT,,,,,,,,,,,,,
105701002,R/1Y,F,1986,A,TUT,,,,,,,-115.91667,30.41667,18,2,1995,MEX,Mexico
105701003,R/5Y,F,1986,L,TUT,,,,,,,,,,,,,
105701007,R/6Y,F,1986,L,TUT,,,,,,,,,,,,,
105701008,R/7Y,M,1986,L,TUT,,,,,,,,,,,,,
105701012,R/DY,F,1986,A,TUT,,,,,,,,,,,,,
105701029,S/6Y,F,1986,L,TUT,,,,,,,,,,,,,
105701030,S/7Y,F,1986,L,TUT,,,,,,,,,,,,,
105701031,S/5Y,M,1986,A,TUT,,,,,,,,,,,,,
105701033,S/GY,M,1986,L,TUT,,,,,,,,,,,,,
105701039,S/KY,M,1986,L,TUT,,,,,,,,,,,,,
105701062,T/6Y,F,1986,L,TUT,,,,,,,,,,,,,
105701065,T/NY,F,1986,A,TUT,,,,,,,,,,,,,
105701068,V/9Y,F,1986,L,TUT,,,,,,,,,,,,,
105701072,V/6Y,F,1986,L,TUT,,,,,,,,,,,,,
105701077,V/7Y,F,1986,L,TUT,,,,,,,,,,,,,
105701080,V/4Y,M,1986,A,TUT,,,,,,,,,,,,,
105701082,V/DY,M,1986,L,TUT,,,,,,,,,,,,,
105701085,V/5Y,F,1986,A,TUT,,,,,,,,,,,,,
105701093,V/VY,F,1986,A,TUT,,,,,,,,,,,,,
105701094,V/YY,M,1986,L,TUT,,,,,,,,,,,,,
105701095,V/SY,F,1986,A,TUT,,,,,,,,,,,,,
105701106,Y/9Y,F,1986,A,TUT,,,,,,,,,,,,,
105701107,Y/EY,F,1986,A,TUT,,,,,,,,,,,,,
105701108,Y/6Y,F,1986,L,TUT,,,,,,,,,,,,,
105701110,Y/NY,F,1986,L,TUT,,,,,,,,,,,,,
105701111,Y/DY,F,1986,A,TUT,,,,,,,,,,,,,
105701113,Y/KY,F,1986,L,TUT,,,,,,,,,,,,,
105701114,Z69K,F,1986,A,TUT,,,,,,,,,,,,,
105701115,Y/SY,F,1986,L,TUT,,,,,,,,,,,,,
105701119,Z/KY,M,1986,A,TUT,,,,,,,,,,,,,
105701120,Z/1Y,F,1986,L,TUT,,,,,,,,,,,,,
105701123,Z/YY,F,1986,A,TUT,,,,,,,,,,,,,
105701124,Y/YY,F,1986,L,TUT,,,,,,,,,,,,,
105701126,Z/7Y,M,1986,L,TUT,,,,,,,-115.91667,30.41667,20,1,2002,MEX,Mexico
105701128,1/8Y,F,1986,A,TUT,,,,,,,,,,,,,
105701133,Z/VY,F,1986,L,TUT,,,,,,,,,,,,,
105701135,1/7Y,M,1986,A,TUT,,,,,,,,,,,,,
105701137,Z/ZY,F,1986,A,TUT,,,,,,,,,,,,,
105701142,1/0Y,F,1986,L,TUT,,,,,,,,,,,,,
105701143,Z/TY,F,1986,A,TUT,,,,,,,,,,,,,
105701149,1/2Y,M,1986,L,TUT,,,,,,,,,,,,,
105701154,1/NY,F,1986,L,TUT,,,,,,,,,,,,,
105701155,1/DY,F,1986,L,TUT,,,,,,,-124.25,40.75,2,11,1994,CA,California
105701160,1/EY,M,1986,L,TUT,,,,,,,,,,,,,
105701162,1/9Y,M,1986,A,TUT,,,,,,,,,,,,,
105701169,2/5Y,M,1986,A,TUT,,,,,,,,,,,,,
105701170,LH1W,F,1986,L,TUT,,,,,,,178.625,64.59167,28,5,2007,USSR,Russia
105701172,1/ZY,F,1986,A,TUT,,,,,,,,,,,,,
105701174,2/6Y,M,1986,A,TUT,,,,,,,,,,,,,
105701176,2/EY,F,1986,L,TUT,,,,,,,,,,,,,
105701179,2/RY,F,1986,L,TUT,,,,,,,,,,,,,
105701186,3/1Y,F,1986,A,TUT,,,,,,,,,,,,,
105701188,LEAW,M,1986,A,TUT,,,,,,,,,,,,,
105701191,3/6Y,M,1986,A,TUT,,,,,,,,,,,,,
105701192,3/0Y,F,1986,L,TUT,,,,,,,,,,,,,
105701193,3/AY,F,1986,L,TUT,,,,,,,,,,,,,
105701197,3/JY,F,1986,A,TUT,,,,,,,-115.91667,30.41667,5,12,1992,MEX,Mexico
105701200,3/LY,F,1986,A,TUT,,,,,,,,,,,,,
105701202,3/SY,F,1986,A,TUT,,,,,,,,,,,,,
105701204,3/VY,M,1986,L,TUT,,,,,,,,,,,,,
105701207,3/ZY,F,1986,L,TUT,,,,,,,,,,,,,
105701208,4/1Y,M,1986,L,TUT,,,,,,,,,,,,,
105701211,4/4Y,F,1986,A,TUT,,,,,,,,,,,,,
105701213,4/6Y,F,1986,L,TUT,,,,,,,,,,,,,
105701217,4/0Y,F,1986,A,TUT,,,,,,,,,,,,,
105701219,4/GY,M,1986,A,TUT,,,,,,,-124.27256,40.69707,99,94,1996,CA,California
105701220,4/DY,M,1986,A,TUT,,,,,,,,,,,,,
105701221,4/EY,F,1986,A,TUT,,,,,,,,,,,,,
105701223,4/KY,M,1986,A,TUT,,,,,,,,,,,,,
105701225,4/NY,M,1986,A,TUT,,,,,,,,,,,,,
105701228,4/TY,M,1986,A,TUT,,,,,,,,,,,,,
105701230,4/ZY,F,1986,L,TUT,,,,,,,,,,,,,
105701231,4/YY,F,1986,A,TUT,,,,,,,,,,,,,
105701234,5/3Y,F,1986,A,TUT,,,,,,,,,,,,,
105701240,5/9Y,F,1986,L,TUT,,,,,,,,,,,,,
105701243,5/AY,M,1986,L,TUT,,,,,,,,,,,,,
105701245,5/GY,F,1986,A,TUT,,,,,,,,,,,,,
105701246,5/KY,F,1986,L,TUT,,,,,,,,,,,,,
105701247,5/JY,F,1986,A,TUT,,,,,,,,,,,,,
105701250,5/SY,F,1986,L,TUT,,,,,,,,,,,,,
105701252,5/TY,F,1986,A,TUT,,,,,,,,,,,,,
105701253,5/YY,F,1986,L,TUT,,,,,,,,,,,,,
105701254,5/VY,M,1986,L,TUT,,,,,,,,,,,,,
105701255,5/ZY,M,1986,A,TUT,,,,,,,,,,,,,
105701256,6/3Y,F,1986,A,TUT,,,,,,,,,,,,,
105701257,6/1Y,M,1986,A,TUT,,,,,,,,,,,,,
105701261,3/RY,F,1986,A,TUT,,,,,,,,,,,,,
105701270,6/AY,F,1986,L,TUT,,,,,,,,,,,,,
105701273,6/JY,F,1986,A,TUT,,,,,,,,,,,,,
105701275,6/LY,F,1986,L,TUT,,,,,,,,,,,,,
105701281,RTKK,F,1986,L,TUT,,,,,,,,,,,,,
105701286,7/4Y,M,1986,A,TUT,,,,,,,,,,,,,
105701289,7/7Y,F,1986,L,TUT,,,,,,,,,,,,,
105701290,7/8Y,F,1986,A,TUT,,,,,,,,,,,,,
105701293,7/0Y,F,1986,A,TUT,,,,,,,,,,,,,
105701297,7/GY,M,1986,A,TUT,,,,,,,,,,,,,
105701300,7/NY,F,1986,A,TUT,,,,,,,-124.25,40.75,19,11,1992,CA,California
105701302,7/SY,F,1986,A,TUT,,,,,,,,,,,,,
105701314,8/8Y,M,1986,A,TUT,,,,,,,,,,,,,
105701315,8/0Y,F,1986,L,TUT,,,,,,,,,,,,,
105701320,CA2Y,F,1986,L,TUT,,,,,,,,,,,,,
105701321,8/KY,F,1986,A,TUT,,,,,,,,,,,,,
105701329,8/ZY,F,1986,L,TUT,,,,,,,,,,,,,
105701333,9/5Y,M,1986,A,TUT,,,,,,,,,,,,,
105701336,9/9Y,M,1986,A,TUT,,,,,,,,,,,,,
105701337,9/0Y,F,1986,A,TUT,,,,,,,,,,,,,
105701345,9/RY,F,1986,A,TUT,,,,,,,,,,,,,
105701346,9/SY,F,1986,L,TUT,,,,,,,,,,,,,
105701348,0/1Y,M,1986,A,TUT,,,,,,,,,,,,,
105701351,0/5Y,F,1986,L,TUT,,,,,,,,,,,,,
105701352,0/7Y,M,1986,A,TUT,,,,,,,-115.91667,30.58333,22,11,1990,MEX,Mexico
105701353,9/LY,F,1986,A,TUT,,,,,,,,,,,,,
105701357,0/4Y,F,1986,A,TUT,,,,,,,,,,,,,
105701358,0/6Y,F,1986,A,TUT,,,,,,,,,,,,,
105701359,0/8Y,M,1986,A,TUT,,,,,,,,,,,,,
105701361,0/9Y,F,1986,L,TUT,,,,,,,,,,,,,
105701366,0/KY,M,1986,A,TUT,,,,,,,-109.91667,27.58333,10,2,1997,MEX,Mexico
105701369,0/RY,F,1986,A,TUT,,,,,,,-109.91667,27.08333,11,2,1997,MEX,Mexico
105701370,0/SY,F,1986,L,TUT,,,,,,,,,,,,,
105701371,0/TY,F,1986,L,TUT,,,,,,,,,,,,,
105706802,N55B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706805,N5HB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706806,N39B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,-115.91667,30.41667,17,11,1995,MEX,Mexico
105706807,N50B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706808,N5EB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706809,NKNB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706810,NK0B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706811,N5NB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706812,NK8B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706813,N5YB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706814,NKVB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706815,NK9B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706816,N5SB,F,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706817,N52B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706818,NG5B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706819,NKSB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706820,N33B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706821,NK5B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706822,N56B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706823,N54B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706824,NKRB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706825,N5RB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706826,NKZB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706827,NK3B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706828,N3LB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706829,N5ZB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706830,N3KB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706831,NKEB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706832,NKHB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706833,NKYB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706834,NK4B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706835,NK7B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706836,NKGB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706837,NGAB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706838,NKKB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706839,N3NB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706840,NKTB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706841,NKAB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706842,N30B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706843,N5VB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706844,NGLB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706845,NK6B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706846,N5KB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706847,N5TB,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706848,NGEB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706849,NKLB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706850,NK1B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,-115.91667,30.41667,99,94,1994,MEX,Mexico
105706852,NRHB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706853,NR5B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706854,NZZB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706855,NRTB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706856,NZAB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706857,NZ2B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706858,N6RB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706859,NR7B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706860,NREB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706861,NZSB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706862,NZNB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706863,NZGB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706864,NR3B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706865,NRNB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706866,NRRB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706867,NZ6B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706868,NZYB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706869,NRSB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
