METAL,BAND,SEX,BANDEDYEAR,BANDEDAGE,BANDEDLOC,DIRREC,AGE_CODE,BANDING_MONTH,BANDING_YEAR,LAT_DECIMAL_DEGREES,LON_DECIMAL_DEGREES,GISRLong,GISRLat,R_Day,R_Month,R_Year,RRegion__STA,RRegion__State
134725798,5RKY,F,1991,L,TUT,,4,7,1991,61.25,-165.75,-115.91667,30.41667,20,2,1993,MEX,Mexico
134725799,5NEY,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725800,5HHY,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725801,5H2Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725802,5H3Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725803,5H4Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134725804,5H5Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725805,5H6Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134725806,5H9Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725807,5H7Y,M,1991,S,TUT,,5,7,1991,61.25,-165.58333,,,,,,,
134725808,5K4Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725809,5K1Y,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134725810,5K2Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725811,5K3Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725812,5K5Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134725813,5K6Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725814,5K7Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,-115.91667,30.41667,24,2,1995,MEX,Mexico
134725815,5K8Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725816,5L2Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725817,5K9Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725818,5L0Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725819,5L1Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725820,5L3Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725821,5L7Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725822,5L4Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725823,5L5Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725824,5L6Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725825,5N1Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725826,5L8Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725827,5L9Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,-114.08333,28.08333,12,2,2004,MEX,Mexico
134725828,02-K,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725829,5N2Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725830,5N3Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725831,5N4Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725832,5N5Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725833,5N6Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725834,5N7Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725835,5N8Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725836,5N9Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725837,5R0Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725838,5R1Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725839,5R2Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725840,5R3Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725841,5R4Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725842,5R7Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725843,5R5Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725844,5R6Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725845,5R8Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725846,5R9Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,-115.91667,30.41667,7,12,2002,MEX,Mexico
134725847,5S0Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725848,5S1Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725850,5S2Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725851,5S3Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725852,5S4Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725853,5S8Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725854,5S5Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725855,5S6Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725856,5S7Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725857,5S9Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725858,5T0Y,M,1991,S,TUT,,5,7,1991,61.25,-165.75,,,,,,,
134725859,5T1Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725860,5T2Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725861,5T3Y,M,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725862,5T5Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725863,5T4Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725864,5T6Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725865,5T7Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725866,5T8Y,F,1991,A,TUT,,1,7,1991,61.25,-165.75,,,,,,,
134725867,5T9Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,-115.91667,30.41667,10,2,1995,MEX,Mexico
134725869,5V0Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725870,5V1Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725871,5V2Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725872,5V4Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725873,5V5Y,F,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725874,5V3Y,F,1991,L,TUT,,4,7,1991,61.25,-165.75,,,,,,,
134725875,5V6Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,,,,,,,
134725876,5V7Y,M,1991,A,TUT,,6,7,1991,61.25,-165.75,-124.25,40.75,15,11,2007,CA,California
134725877,5Y0Y,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725878,5V8Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725879,5V9Y,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725880,5Y2Y,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725881,5Y1Y,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725882,5Y3Y,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725883,5Y4Y,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725884,5Y7Y,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725885,5Y5Y,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725886,5Y6Y,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725887,5Y8Y,F,1991,A,TUT,,1,7,1991,61.25,-165.91667,,,,,,,
134725888,5Z2Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725889,5Y9Y,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725890,5Z0Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725891,5Z1Y,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725892,5Z3Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725893,5Z4Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725894,5Z5Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725895,5Z6Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725896,5Z7Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725897,5Z8Y,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,-124.25,40.75,29,11,1997,CA,California
134725898,5Z9Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725899,600Y,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725900,601Y,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725901,5RAY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725902,5RLY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725903,5RSY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725904,5RRY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725905,5RNY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725906,5RTY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725907,5RZY,F,1991,L,TUT,1,4,7,1991,61.25,-165.91667,-115.91667,30.41667,16,2,1992,MEX,Mexico
134725908,5RVY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725909,5RYY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725910,5SAY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725911,5SEY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725912,5SGY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725913,5SHY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725914,5SLY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725915,5SRY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725916,5SNY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725917,5SSY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,-115.91667,30.41667,81,12,2007,MEX,Mexico
134725918,5SYY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725919,5STY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725920,5SVY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725921,5TKY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725922,5TAY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725923,5TEY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725924,5TGY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725925,5THY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725926,5TNY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725927,5TLY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725928,5TRY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725929,5TSY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725930,5TTY,F,1991,S,TUT,,5,7,1991,61.25,-165.91667,,,,,,,
134725931,5TVY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725932,5TYY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725933,5TZY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725934,5VAY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725935,5VEY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725936,5VGY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725937,5VHY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725938,5VKY,F,1991,S,TUT,,5,7,1991,61.25,-165.91667,,,,,,,
134725939,5VLY,M,1991,S,TUT,,5,7,1991,61.25,-165.91667,,,,,,,
134725940,5VNY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725941,5VRY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725942,5VVY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725943,5VSY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725944,5VTY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725945,5VYY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725946,5VZY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725947,5YAY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725948,5YEY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725949,5YHY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725950,5YGY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725951,5YKY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725952,5YLY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725953,5YRY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725954,5YNY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725955,5YSY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725956,5YTY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725957,5YVY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725958,5YYY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725959,5ZAY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725960,5YZY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725961,5ZEY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725962,5ZGY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725963,5ZHY,F,1991,S,TUT,,5,7,1991,61.25,-165.91667,,,,,,,
134725964,5ZKY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725965,5ZLY,M,1991,S,TUT,,5,7,1991,61.25,-165.91667,,,,,,,
134725966,5ZNY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725967,5ZRY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725968,5ZSY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725969,5ZTY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725970,5ZVY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725971,5ZYY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725972,66ZY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725973,67ZY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725974,65ZY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,-115.91667,30.41667,21,2,1993,MEX,Mexico
134725975,60AY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725976,61AY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725977,63ZY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725978,63AY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725979,62AY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725980,65AY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725981,66AY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725982,67AY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725983,68AY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725984,69AY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725985,60EY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725986,64EY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725987,62EY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725988,65EY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725989,66EY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725990,60GY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725991,61GY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725992,69EY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,-150.41667,70.41667,3,9,1994,AK,Alaska
134725993,64ZY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,-114.08333,28.25,23,2,1993,MEX,Mexico
134725994,62GY,M,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725995,62ZY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725996,63GY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725997,64GY,F,1991,L,TUT,,4,7,1991,61.25,-165.91667,,,,,,,
134725998,65GY,M,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134725999,66GY,F,1991,A,TUT,,6,7,1991,61.25,-165.91667,,,,,,,
134726001,6RKY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726002,6RLY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726003,6RNY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726004,6RSY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726005,6RRY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726006,6RTY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726007,6RVY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726008,6RYY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726009,6RZY,F,1991,S,TUT,,5,7,1991,61.25,-165.58333,,,,,,,
134726010,6SAY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726011,6SEY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726012,6SHY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726013,6SGY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726014,6SKY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726015,6SNY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726016,6SLY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726017,6SRY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726018,6STY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726019,6SVY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726020,6SYY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726021,6SZY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726022,6TAY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726023,6TEY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726024,6TGY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726025,6SSY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726027,6THY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726028,6TLY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726029,6TNY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726030,6TRY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726031,6TSY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726032,6TVY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726033,6TTY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726034,6TYY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726035,6TKY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726036,6TZY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726037,6VAY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726038,6VGY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726039,6VHY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726040,6VNY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726041,6VLY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726042,6VKY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726043,6VSY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726044,6VRY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726045,6VTY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726046,6VVY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726047,6VYY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726048,6VZY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726049,6YAY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726050,6YEY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726051,6YGY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726052,6YHY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726053,6YLY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726054,6YKY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726055,6YNY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726056,6YRY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726057,6YSY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726058,6YTY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726059,6YYY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726060,6YVY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726061,6ZAY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,-115.91667,30.41667,42,2,1995,MEX,Mexico
134726062,6YZY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726063,6ZEY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726064,6ZGY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726065,6ZHY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726066,6ZKY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726067,6ZLY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726068,6ZNY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726069,6ZRY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726070,6ZSY,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726071,6ZTY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726072,6ZYY,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726074,6ZZY,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726075,7A0Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726076,7A1Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,-109.91667,27.58333,28,1,2000,MEX,Mexico
134726077,7A3Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,-115.91667,30.41667,31,1,1998,MEX,Mexico
134726078,7A2Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726079,7A4Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726080,7A6Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726081,7A5Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726082,7A8Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726083,7A7Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726084,7A9Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726085,7E0Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726086,7E1Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726087,7E2Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726088,7E3Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726089,7E5Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726090,7E4Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726091,7E6Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726092,7E7Y,M,1991,L,TUT,1,4,7,1991,61.25,-165.58333,-124.25,40.75,27,11,1991,CA,California
134726093,7E8Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,-163.25,64.58333,26,5,2010,AK,Alaska
134726094,7E9Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726095,7G0Y,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726096,7G2Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726097,7G1Y,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726098,7G4Y,F,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726099,7G3Y,M,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
134726100,7G6Y,M,1991,A,TUT,,6,7,1991,61.25,-165.58333,,,,,,,
134726101,7STY,F,1991,L,TUT,,4,7,1991,61.25,-165.58333,,,,,,,
